"","business_id","business_name","business_address","inspection_date","inspection_score","violation_description","risk_category","Current Supervisor Districts"
"1331",5865,"TAYLOR ELEMENTARY SCHOOL","423 BURROWS St",2019-02-04,100,NA,NA,NA
"1332",97882,"MUGUBOKA RESTAURANT","401 Balboa St",2019-02-04,94,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1333",97882,"MUGUBOKA RESTAURANT","401 Balboa St",2019-02-04,94,"Inadequate dressing rooms or improper storage of personal items","Low Risk",NA
"1334",97975,"BREADBELLY","1408 Clement St",2019-02-04,96,"Improper food storage","Low Risk",NA
"1335",97975,"BREADBELLY","1408 Clement St",2019-02-04,96,"Inadequate dressing rooms or improper storage of personal items","Low Risk",NA
"1336",5827,"HILLCREST ELEMENTARY SCHOOL","810 SILVER Ave",2019-02-04,100,NA,NA,2
"1337",94605,"U Dessert Story","3489 16th St",2019-02-05,92,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1338",25374,"Cafe Destiji","1075 Front St",2019-02-05,85,"Unclean or degraded floors walls or ceilings","Low Risk",3
"1339",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"No thermometers or uncalibrated thermometers","Low Risk",2
"1340",226,"Grumpy's American Pub","125 Vallejo St",2019-02-05,84,"No thermometers or uncalibrated thermometers","Low Risk",3
"1341",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"1342",22304,"Julie's Kitchen","50 FREMONT St",2019-02-05,86,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",10
"1343",226,"Grumpy's American Pub","125 Vallejo St",2019-02-05,84,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",3
"1344",18940,"Bruno's","2389 MISSION St",2019-02-05,96,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"1345",903,"Sabra Restaurant","419 Grant Ave",2019-02-05,90,"Foods not protected from contamination","Moderate Risk",3
"1346",903,"Sabra Restaurant","419 Grant Ave",2019-02-05,90,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",3
"1347",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"Moderate risk food holding temperature","Moderate Risk",2
"1348",22304,"Julie's Kitchen","50 FREMONT St",2019-02-05,86,"Low risk vermin infestation","Low Risk",10
"1349",25374,"Cafe Destiji","1075 Front St",2019-02-05,85,"Foods not protected from contamination","Moderate Risk",3
"1350",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"Improper cooling methods","High Risk",2
"1351",903,"Sabra Restaurant","419 Grant Ave",2019-02-05,90,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"1352",226,"Grumpy's American Pub","125 Vallejo St",2019-02-05,84,"Moderate risk food holding temperature","Moderate Risk",3
"1353",28976,"AFC Sushi @Safeway 739","3350 Mission St",2019-02-05,98,"Unapproved or unmaintained equipment or utensils","Low Risk",2
"1354",25374,"Cafe Destiji","1075 Front St",2019-02-05,85,"Unclean or unsanitary food contact surfaces","High Risk",3
"1355",226,"Grumpy's American Pub","125 Vallejo St",2019-02-05,84,"Unapproved or unmaintained equipment or utensils","Low Risk",3
"1356",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"Unclean or degraded floors walls or ceilings","Low Risk",2
"1357",22304,"Julie's Kitchen","50 FREMONT St",2019-02-05,86,"Foods not protected from contamination","Moderate Risk",10
"1358",12199,"El Gallo Giro","3055 23rd St",2019-02-05,91,"High risk food holding temperature","High Risk",2
"1359",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"Unclean nonfood contact surfaces","Low Risk",2
"1360",25374,"Cafe Destiji","1075 Front St",2019-02-05,85,"Improper or defective plumbing","Low Risk",3
"1361",226,"Grumpy's American Pub","125 Vallejo St",2019-02-05,84,"Improper thawing methods","Moderate Risk",3
"1362",38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave",2019-02-05,72,"High risk vermin infestation","High Risk",2
"1363",12199,"El Gallo Giro","3055 23rd St",2019-02-05,91,"Inadequate ventilation or lighting","Low Risk",2
"1364",22304,"Julie's Kitchen","50 FREMONT St",2019-02-05,86,"Moderate risk food holding temperature","Moderate Risk",10
"1365",88718,"Rambler","545 Post St",2019-02-05,89,"Unclean or unsanitary food contact surfaces","High Risk",NA
"1366",77901,"The Estate Kitchen, LLC","799 Bryant St",2019-02-05,88,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1367",90256,"Swamp Restaurant","5423 Geary Blvd",2019-02-05,90,"Improper storage of equipment utensils or linens","Low Risk",NA
"1368",84124,"Barcha","28 Fremont St",2019-02-05,80,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1369",71056,"The Iron Cactus","683 04th St",2019-02-05,88,"Food safety certificate or food handler card not available","Low Risk",10
"1370",88718,"Rambler","545 Post St",2019-02-05,89,"Moderate risk food holding temperature","Moderate Risk",NA
"1371",84124,"Barcha","28 Fremont St",2019-02-05,80,"Unclean or unsanitary food contact surfaces","High Risk",NA
"1372",75223,"The Plant Cafe Organic","958 Illinois St",2019-02-05,88,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1373",77901,"The Estate Kitchen, LLC","799 Bryant St",2019-02-05,88,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1374",77901,"The Estate Kitchen, LLC","799 Bryant St",2019-02-05,88,"Inadequate dressing rooms or improper storage of personal items","Low Risk",NA
"1375",90256,"Swamp Restaurant","5423 Geary Blvd",2019-02-05,90,"Inadequate dressing rooms or improper storage of personal items","Low Risk",NA
"1376",71056,"The Iron Cactus","683 04th St",2019-02-05,88,"Insufficient hot water or running water","Moderate Risk",10
"1377",75223,"The Plant Cafe Organic","958 Illinois St",2019-02-05,88,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1378",75223,"The Plant Cafe Organic","958 Illinois St",2019-02-05,88,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1379",77901,"The Estate Kitchen, LLC","799 Bryant St",2019-02-05,88,"Noncompliance with HAACP plan or variance","Moderate Risk",NA
"1380",71057,"The Creamery","685 04th St",2019-02-05,90,"Inadequate dressing rooms or improper storage of personal items","Low Risk",10
"1381",71057,"The Creamery","685 04th St",2019-02-05,90,"Inadequate and inaccessible handwashing facilities","Moderate Risk",10
"1382",90256,"Swamp Restaurant","5423 Geary Blvd",2019-02-05,90,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1383",84124,"Barcha","28 Fremont St",2019-02-05,80,"Improper cooling methods","High Risk",NA
"1384",75223,"The Plant Cafe Organic","958 Illinois St",2019-02-05,88,"Moderate risk vermin infestation","Moderate Risk",NA
"1385",71056,"The Iron Cactus","683 04th St",2019-02-05,88,"Moderate risk food holding temperature","Moderate Risk",10
"1386",79491,"Giddy","2299 Market St B",2019-02-05,98,"Permit license or inspection report not posted","Low Risk",NA
"1387",90256,"Swamp Restaurant","5423 Geary Blvd",2019-02-05,90,"Food safety certificate or food handler card not available","Low Risk",NA
"1388",71057,"The Creamery","685 04th St",2019-02-05,90,"Food safety certificate or food handler card not available","Low Risk",10
"1389",71056,"The Iron Cactus","683 04th St",2019-02-05,88,"Low risk vermin infestation","Low Risk",10
"1390",84124,"Barcha","28 Fremont St",2019-02-05,80,"Foods not protected from contamination","Moderate Risk",NA
"1391",71057,"The Creamery","685 04th St",2019-02-05,90,"Low risk vermin infestation","Low Risk",10
"1392",95733,"SusieCakes Bakery","50 Fremont St #125",2019-02-05,100,NA,NA,NA
"1393",94605,"U Dessert Story","3489 16th St",2019-02-05,92,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1394",94605,"U Dessert Story","3489 16th St",2019-02-05,92,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"1395",59577,"Pasta Moto of San Francisco Centre LLC","845 Market St FE6",2019-02-06,73,"Improper cooling methods","High Risk",10
"1396",1959,"EBISU RESTAURANT","1283 09th Ave",2019-02-06,79,"High risk food holding temperature","High Risk",7
"1397",3861,"CINCO DE MAYO TAQUERIA & GROCERY","2426 SAN BRUNO Ave",2019-02-06,81,"Improper thawing methods","Moderate Risk",2
"1398",7575,"SUPER MIRA","1790 SUTTER St",2019-02-06,86,"Improper food storage","Low Risk",11
"1399",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Moderate risk food holding temperature","Moderate Risk",3
"1400",35340,"Cornerstone Academy","501 Cambridge St",2019-02-06,96,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"1401",5859,"BURTON HIGH SCHOOL","400 MANSELL St",2019-02-06,96,"Unapproved or unmaintained equipment or utensils","Low Risk",2
"1402",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Improper thawing methods","Moderate Risk",3
"1403",3861,"CINCO DE MAYO TAQUERIA & GROCERY","2426 SAN BRUNO Ave",2019-02-06,81,"Moderate risk food holding temperature","Moderate Risk",2
"1404",59577,"Pasta Moto of San Francisco Centre LLC","845 Market St FE6",2019-02-06,73,"High risk food holding temperature","High Risk",10
"1405",3861,"CINCO DE MAYO TAQUERIA & GROCERY","2426 SAN BRUNO Ave",2019-02-06,81,"Improper cooling methods","High Risk",2
"1406",3459,"BASIL THAI RESTAURANT & BAR","1175 FOLSOM St",2019-02-06,86,"Employee eating or smoking","Moderate Risk",10
"1407",7575,"SUPER MIRA","1790 SUTTER St",2019-02-06,86,"Low risk vermin infestation","Low Risk",11
"1408",1959,"EBISU RESTAURANT","1283 09th Ave",2019-02-06,79,"Moderate risk vermin infestation","Moderate Risk",7
"1409",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"1410",5859,"BURTON HIGH SCHOOL","400 MANSELL St",2019-02-06,96,"Improper storage of equipment utensils or linens","Low Risk",2
"1411",59577,"Pasta Moto of San Francisco Centre LLC","845 Market St FE6",2019-02-06,73,"Inadequate and inaccessible handwashing facilities","Moderate Risk",10
"1412",3861,"CINCO DE MAYO TAQUERIA & GROCERY","2426 SAN BRUNO Ave",2019-02-06,81,"Unapproved or unmaintained equipment or utensils","Low Risk",2
"1413",7575,"SUPER MIRA","1790 SUTTER St",2019-02-06,86,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",11
"1414",7764,"YASUKOCHI'S SWEET SHOP","1790 SUTTER St",2019-02-06,94,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",11
"1415",7575,"SUPER MIRA","1790 SUTTER St",2019-02-06,86,"Unapproved or unmaintained equipment or utensils","Low Risk",11
"1416",59577,"Pasta Moto of San Francisco Centre LLC","845 Market St FE6",2019-02-06,73,"Unclean or degraded floors walls or ceilings","Low Risk",10
"1417",3459,"BASIL THAI RESTAURANT & BAR","1175 FOLSOM St",2019-02-06,86,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",10
"1418",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Inadequate and inaccessible handwashing facilities","Moderate Risk",3
"1419",1959,"EBISU RESTAURANT","1283 09th Ave",2019-02-06,79,"Foods not protected from contamination","Moderate Risk",7
"1420",1959,"EBISU RESTAURANT","1283 09th Ave",2019-02-06,79,"Unclean or degraded floors walls or ceilings","Low Risk",7
"1421",3459,"BASIL THAI RESTAURANT & BAR","1175 FOLSOM St",2019-02-06,86,"Moderate risk food holding temperature","Moderate Risk",10
"1422",59577,"Pasta Moto of San Francisco Centre LLC","845 Market St FE6",2019-02-06,73,"High risk vermin infestation","High Risk",10
"1423",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Unclean or degraded floors walls or ceilings","Low Risk",3
"1424",3861,"CINCO DE MAYO TAQUERIA & GROCERY","2426 SAN BRUNO Ave",2019-02-06,81,"Inadequate warewashing facilities or equipment","Low Risk",2
"1425",2244,"Starbucks Coffee Company","295 California St",2019-02-06,96,"Food safety certificate or food handler card not available","Low Risk",3
"1426",2244,"Starbucks Coffee Company","295 California St",2019-02-06,96,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"1427",7575,"SUPER MIRA","1790 SUTTER St",2019-02-06,86,"Improper thawing methods","Moderate Risk",11
"1428",37682,"Honey Honey Cafe","599 Post St",2019-02-06,82,"Improper food storage","Low Risk",3
"1429",7764,"YASUKOCHI'S SWEET SHOP","1790 SUTTER St",2019-02-06,94,"Unapproved or unmaintained equipment or utensils","Low Risk",11
"1430",1959,"EBISU RESTAURANT","1283 09th Ave",2019-02-06,79,"Inadequate and inaccessible handwashing facilities","Moderate Risk",7
"1431",3459,"BASIL THAI RESTAURANT & BAR","1175 FOLSOM St",2019-02-06,86,"Improper or defective plumbing","Low Risk",10
"1432",69186,"Premier Catering & Events, Inc.","1255 22nd St",2019-02-06,83,"Unclean or unsanitary food contact surfaces","High Risk",NA
"1433",67985,"Momma's Kitchen","121 09th St",2019-02-06,90,"Inadequate and inaccessible handwashing facilities","Moderate Risk",10
"1434",88129,"SF NEWA","407 Ellis St",2019-02-06,88,"Inadequate ventilation or lighting","Low Risk",NA
"1435",69186,"Premier Catering & Events, Inc.","1255 22nd St",2019-02-06,83,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1436",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"Improper cooling methods","High Risk",NA
"1437",88129,"SF NEWA","407 Ellis St",2019-02-06,88,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1438",87700,"Banh Mi House","2701 San Bruno Ave",2019-02-06,94,"Improper food storage","Low Risk",NA
"1439",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"High risk food holding temperature","High Risk",NA
"1440",86359,"Bill's Place","2315 Clement St",2019-02-06,94,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1441",85809,"Boba Guys","8 Octavia St",2019-02-06,90,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1442",90583,"Mixt Greens/Mixt","51 Yerba Buena Lane",2019-02-06,85,"Improper cooling methods","High Risk",NA
"1443",85809,"Boba Guys","8 Octavia St",2019-02-06,90,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1444",87260,"Senor Sisig","2277 Shafter Ave",2019-02-06,94,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1445",69186,"Premier Catering & Events, Inc.","1255 22nd St",2019-02-06,83,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1446",67985,"Momma's Kitchen","121 09th St",2019-02-06,90,"Unapproved or unmaintained equipment or utensils","Low Risk",10
"1447",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"Inadequate ventilation or lighting","Low Risk",NA
"1448",88129,"SF NEWA","407 Ellis St",2019-02-06,88,"Permit license or inspection report not posted","Low Risk",NA
"1449",87700,"Banh Mi House","2701 San Bruno Ave",2019-02-06,94,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1450",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1451",87260,"Senor Sisig","2277 Shafter Ave",2019-02-06,94,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1452",78207,"Schroeder's","240 Front St",2019-02-06,98,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"1453",69850,"Kabob Trolley, LLC","298 King St",2019-02-06,89,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",NA
"1454",87700,"Banh Mi House","2701 San Bruno Ave",2019-02-06,94,"Inadequate warewashing facilities or equipment","Low Risk",NA
"1455",85809,"Boba Guys","8 Octavia St",2019-02-06,90,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"1456",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"Foods not protected from contamination","Moderate Risk",NA
"1457",88129,"SF NEWA","407 Ellis St",2019-02-06,88,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",NA
"1458",90583,"Mixt Greens/Mixt","51 Yerba Buena Lane",2019-02-06,85,"Foods not protected from contamination","Moderate Risk",NA
"1459",69186,"Premier Catering & Events, Inc.","1255 22nd St",2019-02-06,83,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1460",67985,"Momma's Kitchen","121 09th St",2019-02-06,90,"Food safety certificate or food handler card not available","Low Risk",10
"1461",69186,"Premier Catering & Events, Inc.","1255 22nd St",2019-02-06,83,"Improper storage of equipment utensils or linens","Low Risk",NA
"1462",69850,"Kabob Trolley, LLC","298 King St",2019-02-06,89,"Improper cooling methods","High Risk",NA
"1463",85809,"Boba Guys","8 Octavia St",2019-02-06,90,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1464",87260,"Senor Sisig","2277 Shafter Ave",2019-02-06,94,"Unclean nonfood contact surfaces","Low Risk",NA
"1465",90583,"Mixt Greens/Mixt","51 Yerba Buena Lane",2019-02-06,85,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"1466",78698,"Pakwan Restaurant","3180 16th St",2019-02-06,71,"High risk vermin infestation","High Risk",NA
"1467",88129,"SF NEWA","407 Ellis St",2019-02-06,88,"Unclean nonfood contact surfaces","Low Risk",NA
"1468",67985,"Momma's Kitchen","121 09th St",2019-02-06,90,"Improper or defective plumbing","Low Risk",10
"1469",86359,"Bill's Place","2315 Clement St",2019-02-06,94,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"1470",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"1471",95537,"Eat Sushi","1516 Folsom St",2019-02-06,90,"Improper or defective plumbing","Low Risk",NA
"1472",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Foods not protected from contamination","Moderate Risk",NA
"1473",95537,"Eat Sushi","1516 Folsom St",2019-02-06,90,"Low risk vermin infestation","Low Risk",NA
"1474",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1475",95537,"Eat Sushi","1516 Folsom St",2019-02-06,90,"Improper storage use or identification of toxic substances","Low Risk",NA
"1476",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Unclean nonfood contact surfaces","Low Risk",NA
"1477",95537,"Eat Sushi","1516 Folsom St",2019-02-06,90,"Improper storage of equipment utensils or linens","Low Risk",NA
"1478",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Food safety certificate or food handler card not available","Low Risk",NA
"1479",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"1480",96584,"VAN NESS CAFE & GYROS","826 VAN NESS AVE",2019-02-06,82,"Moderate risk food holding temperature","Moderate Risk",NA
"1481",95537,"Eat Sushi","1516 Folsom St",2019-02-06,90,"Improper food labeling or menu misrepresentation","Low Risk",NA
"1482",92174,"Bandit","683 Geary St",2019-02-07,90,"Improper food storage","Low Risk",NA
"1483",59826,"JANNAH","1775 FULTON St",2019-02-07,92,"Inadequate and inaccessible handwashing facilities","Moderate Risk",11
"1484",4923,"TED'S MARKET","1530 HOWARD St",2019-02-07,86,"Food safety certificate or food handler card not available","Low Risk",10
"1485",7512,"Superette Market","128 EDDY ST",2019-02-07,85,"Inadequate and inaccessible handwashing facilities","Moderate Risk",10
"1486",1452,"CAFE V","1525 FOLSOM St",2019-02-07,90,"Food safety certificate or food handler card not available","Low Risk",10
"1487",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Unapproved or unmaintained equipment or utensils","Low Risk",9
"1488",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Permit license or inspection report not posted","Low Risk",11
"1489",2279,"Golden Donuts","5401 GEARY Blvd",2019-02-07,90,"Unpermitted food facility","Low Risk",4
"1490",34221,"Campton Place SF, A Taj Hotel-Restaurant","340 Stockton St",2019-02-07,87,"Permit license or inspection report not posted","Low Risk",3
"1491",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Moderate risk food holding temperature","Moderate Risk",11
"1492",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Inadequate and inaccessible handwashing facilities","Moderate Risk",9
"1493",59826,"JANNAH","1775 FULTON St",2019-02-07,92,"Unapproved or unmaintained equipment or utensils","Low Risk",11
"1494",4797,"Good Life Grocery, The","448 CORTLAND Ave",2019-02-07,92,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",2
"1495",1452,"CAFE V","1525 FOLSOM St",2019-02-07,90,"Inadequate dressing rooms or improper storage of personal items","Low Risk",10
"1496",1811,"MOONLIGHT CAFE","634 CORTLAND Ave",2019-02-07,87,"High risk food holding temperature","High Risk",2
"1497",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Foods not protected from contamination","Moderate Risk",9
"1498",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",9
"1499",1811,"MOONLIGHT CAFE","634 CORTLAND Ave",2019-02-07,87,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"1500",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Low risk vermin infestation","Low Risk",11
"1501",4923,"TED'S MARKET","1530 HOWARD St",2019-02-07,86,"Low risk vermin infestation","Low Risk",10
"1502",7512,"Superette Market","128 EDDY ST",2019-02-07,85,"Contaminated or adulterated food","High Risk",10
"1503",2279,"Golden Donuts","5401 GEARY Blvd",2019-02-07,90,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",4
"1504",2279,"Golden Donuts","5401 GEARY Blvd",2019-02-07,90,"Food safety certificate or food handler card not available","Low Risk",4
"1505",3222,"MEL'S DRIVE-IN","3355 GEARY Blvd",2019-02-07,92,"Moderate risk food holding temperature","Moderate Risk",4
"1506",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Improper cooling methods","High Risk",9
"1507",4627,"Guerra Quality Meats","490 Taraval",2019-02-07,96,"Improper thawing methods","Moderate Risk",8
"1508",34221,"Campton Place SF, A Taj Hotel-Restaurant","340 Stockton St",2019-02-07,87,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"1509",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Improper thawing methods","Moderate Risk",9
"1510",4923,"TED'S MARKET","1530 HOWARD St",2019-02-07,86,"Improper food storage","Low Risk",10
"1511",7512,"Superette Market","128 EDDY ST",2019-02-07,85,"Unapproved or unmaintained equipment or utensils","Low Risk",10
"1512",34221,"Campton Place SF, A Taj Hotel-Restaurant","340 Stockton St",2019-02-07,87,"High risk food holding temperature","High Risk",3
"1513",1452,"CAFE V","1525 FOLSOM St",2019-02-07,90,"Low risk vermin infestation","Low Risk",10
"1514",3222,"MEL'S DRIVE-IN","3355 GEARY Blvd",2019-02-07,92,"Improper food storage","Low Risk",4
"1515",4923,"TED'S MARKET","1530 HOWARD St",2019-02-07,86,"Moderate risk food holding temperature","Moderate Risk",10
"1516",4797,"Good Life Grocery, The","448 CORTLAND Ave",2019-02-07,92,"Noncompliance with shell fish tags or display","Moderate Risk",2
"1517",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",11
"1518",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"Unclean or unsanitary food contact surfaces","High Risk",9
"1519",2279,"Golden Donuts","5401 GEARY Blvd",2019-02-07,90,"Improper storage of equipment utensils or linens","Low Risk",4
"1520",3222,"MEL'S DRIVE-IN","3355 GEARY Blvd",2019-02-07,92,"Unclean or degraded floors walls or ceilings","Low Risk",4
"1521",4923,"TED'S MARKET","1530 HOWARD St",2019-02-07,86,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",10
"1522",61494,"Golden City Inn","5131 03rd St",2019-02-07,61,"High risk food holding temperature","High Risk",9
"1523",7512,"Superette Market","128 EDDY ST",2019-02-07,85,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",10
"1524",1811,"MOONLIGHT CAFE","634 CORTLAND Ave",2019-02-07,87,"Unapproved or unmaintained equipment or utensils","Low Risk",2
"1525",59826,"JANNAH","1775 FULTON St",2019-02-07,92,"Unclean or degraded floors walls or ceilings","Low Risk",11
"1526",1452,"CAFE V","1525 FOLSOM St",2019-02-07,90,"Improper thawing methods","Moderate Risk",10
"1527",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Food safety certificate or food handler card not available","Low Risk",11
"1528",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Unclean or degraded floors walls or ceilings","Low Risk",11
"1529",4797,"Good Life Grocery, The","448 CORTLAND Ave",2019-02-07,92,"Unclean nonfood contact surfaces","Low Risk",2
"1530",3736,"SAFEWAY #2646","735 07th Ave",2019-02-07,98,"Unapproved or unmaintained equipment or utensils","Low Risk",4
"1531",34221,"Campton Place SF, A Taj Hotel-Restaurant","340 Stockton St",2019-02-07,87,"Unclean or degraded floors walls or ceilings","Low Risk",3
"1532",2619,"KEZAR BAR & RESTAURANT","900 COLE St",2019-02-07,82,"Improper storage of equipment utensils or linens","Low Risk",11
"1533",68560,"Wow Naan-N-Curry","642 Irving St",2019-02-07,78,"High risk vermin infestation","High Risk",11
"1534",90925,"Intercontinental Mark Hopkins","999 California St Lobby",2019-02-07,96,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"1535",89213,"Guerra's to Go","345 Taraval St",2019-02-07,96,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1536",86406,"SFSU Resident Dining","801 Font Blvd",2019-02-07,90,"Moderate risk vermin infestation","Moderate Risk",NA
"1537",68560,"Wow Naan-N-Curry","642 Irving St",2019-02-07,78,"Improper cooling methods","High Risk",11
"1538",88433,"The Elite Cafe","2049 Fillmore St",2019-02-07,80,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1539",94094,"Street Meet","2380 San Bruno Ave",2019-02-07,86,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"1540",90701,"Chef's Work in the Truck","428 11th St",2019-02-07,91,"Mobile food facility not operating with an approved commissary","High Risk",NA
"1541",92174,"Bandit","683 Geary St",2019-02-07,90,"Moderate risk food holding temperature","Moderate Risk",NA
"1542",68560,"Wow Naan-N-Curry","642 Irving St",2019-02-07,78,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",11
"1543",90701,"Chef's Work in the Truck","428 11th St",2019-02-07,91,"Permit license or inspection report not posted","Low Risk",NA
"1544",90914,"Intercontinental Mark Hopkins","999 California St 19th Floor",2019-02-07,98,"Low risk vermin infestation","Low Risk",NA
"1545",91823,"Oma Sushi","330 O'Farrell St",2019-02-07,92,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"1546",88433,"The Elite Cafe","2049 Fillmore St",2019-02-07,80,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"1547",90929,"Intercontinental Mark Hopkins","999 California St.  B1 California Level",2019-02-07,96,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"1548",90917,"Intercontinental Mark Hopkins","999 California St B1 California Level",2019-02-07,98,"Low risk vermin infestation","Low Risk",NA
"1549",94094,"Street Meet","2380 San Bruno Ave",2019-02-07,86,"Improper thawing methods","Moderate Risk",NA
"1550",77858,"AFC Sushi @ Good Life Grocers","Cortland Ave",2019-02-07,94,"Improper storage of equipment utensils or linens","Low Risk",NA
